"TIME","GEO","INDIC","S_ADJ","Value","Flag and Footnotes"
"2000M06","Estonia","Industrial confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","6.3",""
"2000M06","Estonia","Industrial confidence indicator","Seasonally adjusted data, not calendar adjusted data","0.2",""
"2000M06","Estonia","Retail confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-1.2",""
"2000M06","Estonia","Retail confidence indicator","Seasonally adjusted data, not calendar adjusted data","-1.6",""
"2000M06","Estonia","Consumer confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-33.2",""
"2000M06","Estonia","Consumer confidence indicator","Seasonally adjusted data, not calendar adjusted data","-33.8",""
"2000M06","Estonia","Services Confidence Indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M06","Estonia","Services Confidence Indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M06","Latvia","Construction confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-25.5",""
"2000M06","Latvia","Construction confidence indicator","Seasonally adjusted data, not calendar adjusted data","-35.1",""
"2000M06","Latvia","Economic sentiment indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M06","Latvia","Economic sentiment indicator","Seasonally adjusted data, not calendar adjusted data","105.7",""
"2000M06","Latvia","Industrial confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-5.4",""
"2000M06","Latvia","Industrial confidence indicator","Seasonally adjusted data, not calendar adjusted data","-9.1",""
"2000M06","Latvia","Retail confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","9.4",""
"2000M06","Latvia","Retail confidence indicator","Seasonally adjusted data, not calendar adjusted data","7.7",""
"2000M06","Latvia","Consumer confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M06","Latvia","Consumer confidence indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M06","Latvia","Services Confidence Indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M06","Latvia","Services Confidence Indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M06","Lithuania","Construction confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-61.4",""
"2000M06","Lithuania","Construction confidence indicator","Seasonally adjusted data, not calendar adjusted data","-70.3",""
"2000M06","Lithuania","Economic sentiment indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M06","Lithuania","Economic sentiment indicator","Seasonally adjusted data, not calendar adjusted data","95.2",""
"2000M06","Lithuania","Industrial confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-13.9",""
"2000M06","Lithuania","Industrial confidence indicator","Seasonally adjusted data, not calendar adjusted data","-16.2",""
"2000M06","Lithuania","Retail confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-15.7",""
"2000M06","Lithuania","Retail confidence indicator","Seasonally adjusted data, not calendar adjusted data","-16.4",""
"2000M06","Lithuania","Consumer confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M06","Lithuania","Consumer confidence indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M06","Lithuania","Services Confidence Indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M06","Lithuania","Services Confidence Indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M07","Estonia","Construction confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-5.3",""
"2000M07","Estonia","Construction confidence indicator","Seasonally adjusted data, not calendar adjusted data","-17.7",""
"2000M07","Estonia","Economic sentiment indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M07","Estonia","Economic sentiment indicator","Seasonally adjusted data, not calendar adjusted data","97.9",""
"2000M07","Estonia","Industrial confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","7.5",""
"2000M07","Estonia","Industrial confidence indicator","Seasonally adjusted data, not calendar adjusted data","4.9",""
"2000M07","Estonia","Retail confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","1.8",""
"2000M07","Estonia","Retail confidence indicator","Seasonally adjusted data, not calendar adjusted data","2.5",""
"2000M07","Estonia","Consumer confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-30.4",""
"2000M07","Estonia","Consumer confidence indicator","Seasonally adjusted data, not calendar adjusted data","-30.4",""
"2000M07","Estonia","Services Confidence Indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M07","Estonia","Services Confidence Indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M07","Latvia","Construction confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-19.9",""
"2000M07","Latvia","Construction confidence indicator","Seasonally adjusted data, not calendar adjusted data","-32.5",""
"2000M07","Latvia","Economic sentiment indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M07","Latvia","Economic sentiment indicator","Seasonally adjusted data, not calendar adjusted data","105.2",""
"2000M07","Latvia","Industrial confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-9.4",""
"2000M07","Latvia","Industrial confidence indicator","Seasonally adjusted data, not calendar adjusted data","-9.4",""
"2000M07","Latvia","Retail confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","10.1",""
"2000M07","Latvia","Retail confidence indicator","Seasonally adjusted data, not calendar adjusted data","9.0",""
"2000M07","Latvia","Consumer confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M07","Latvia","Consumer confidence indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M07","Latvia","Services Confidence Indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M07","Latvia","Services Confidence Indicator","Seasonally adjusted data, not calendar adjusted data",":",""
"2000M07","Lithuania","Construction confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-66.4",""
"2000M07","Lithuania","Construction confidence indicator","Seasonally adjusted data, not calendar adjusted data","-76.0",""
"2000M07","Lithuania","Economic sentiment indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)",":",""
"2000M07","Lithuania","Economic sentiment indicator","Seasonally adjusted data, not calendar adjusted data","91.8",""
"2000M07","Lithuania","Industrial confidence indicator","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","-18.2",""
"2000M07","Lithuania","Industrial confidence indicator","Seasonally adjusted data, not calendar adjusted data","-19.5",""
