"TIME","GEO","UNIT","S_ADJ","NA_ITEM","Value","Flag and Footnotes"
"1999Q2","Latvia","Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data","Wages and salaries",":",""
"1999Q2","Latvia","Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data","Gross domestic product at market prices","64.5",""
"1999Q2","Latvia","Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data","Wages and salaries",":",""
"1999Q2","Latvia","Chain linked volumes, index 2010=100","Seasonally and calendar adjusted data","Gross domestic product at market prices","64.0",""
"1999Q2","Latvia","Chain linked volumes, index 2010=100","Seasonally and calendar adjusted data","Wages and salaries",":",""
"1999Q2","Lithuania","Current prices, million euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices","2,700.7",""
"1999Q2","Lithuania","Current prices, million euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Wages and salaries","946.1",""
"1999Q2","Lithuania","Current prices, million euro","Seasonally adjusted data, not calendar adjusted data","Gross domestic product at market prices",":",""
"1999Q2","Lithuania","Current prices, million euro","Seasonally adjusted data, not calendar adjusted data","Wages and salaries",":",""
"1999Q2","Lithuania","Current prices, million euro","Calendar adjusted data, not seasonally adjusted data","Gross domestic product at market prices","2,695.7",""
"1999Q2","Lithuania","Current prices, million euro","Calendar adjusted data, not seasonally adjusted data","Wages and salaries",":",""
"1999Q2","Lithuania","Current prices, million euro","Seasonally and calendar adjusted data","Gross domestic product at market prices","2,642.0",""
"1999Q2","Lithuania","Current prices, million euro","Seasonally and calendar adjusted data","Wages and salaries","899.0",""
"1999Q2","Lithuania","Chain linked volumes (2010), million euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices","4,421.5",""
"1999Q2","Lithuania","Chain linked volumes (2010), million euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Wages and salaries",":",""
"1999Q2","Lithuania","Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data","Gross domestic product at market prices",":",""
"1999Q2","Lithuania","Chain linked volumes (2010), million euro","Seasonally adjusted data, not calendar adjusted data","Wages and salaries",":",""
"1999Q2","Lithuania","Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data","Gross domestic product at market prices","4,405.4",""
"1999Q2","Lithuania","Chain linked volumes (2010), million euro","Calendar adjusted data, not seasonally adjusted data","Wages and salaries",":",""
"1999Q2","Lithuania","Chain linked volumes (2010), million euro","Seasonally and calendar adjusted data","Gross domestic product at market prices","4,457.2",""
"1999Q2","Lithuania","Chain linked volumes (2010), million euro","Seasonally and calendar adjusted data","Wages and salaries",":",""
"1999Q2","Lithuania","Chain linked volumes, index 2010=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices","63.1",""
"1999Q2","Lithuania","Chain linked volumes, index 2010=100","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Wages and salaries",":",""
"1999Q2","Lithuania","Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data","Gross domestic product at market prices",":",""
"1999Q2","Lithuania","Chain linked volumes, index 2010=100","Seasonally adjusted data, not calendar adjusted data","Wages and salaries",":",""
"1999Q2","Lithuania","Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data","Gross domestic product at market prices","62.9",""
"1999Q2","Lithuania","Chain linked volumes, index 2010=100","Calendar adjusted data, not seasonally adjusted data","Wages and salaries",":",""
"1999Q2","Lithuania","Chain linked volumes, index 2010=100","Seasonally and calendar adjusted data","Gross domestic product at market prices","63.6",""
"1999Q2","Lithuania","Chain linked volumes, index 2010=100","Seasonally and calendar adjusted data","Wages and salaries",":",""
"1999Q3","Estonia","Current prices, million euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Gross domestic product at market prices","1,365.1",""
"1999Q3","Estonia","Current prices, million euro","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Wages and salaries","442.5",""
"1999Q3","Estonia","Current prices, million euro","Seasonally adjusted data, not calendar adjusted data","Gross domestic product at market prices",":",""
"1999Q3","Estonia","Current prices, million euro","Seasonally adjusted data, not calendar adjusted data","Wages and salaries",":",""
