Date,OMXV Value,OMXV Change (%),OMXV Daily Change (%),OMX raw,2,,,1,
"30,08,2000",91.9,-8.1,0.59,2000-08-30,8,2000,5457.06,61,
"31,08,2000",91.99,-8.01,0.1,2000-08-31,8,2000,5549.05,62,
"01,09,2000",91.59,-8.41,-0.43,2000-09-01,9,2000,5640.64,63,
"02,09,2000",91.59,-8.41,0,2000-09-02,9,2000,5732.23,64,
"03,09,2000",91.59,-8.41,0,2000-09-03,9,2000,5823.82,65,
"04,09,2000",92.71,-7.29,1.22,2000-09-04,9,2000,5916.53,66,
"05,09,2000",93.2,-6.8,0.53,2000-09-05,9,2000,6009.73,67,
"06,09,2000",94.25,-5.75,1.13,2000-09-06,9,2000,6103.98,68,
"07,09,2000",95.81,-4.19,1.66,2000-09-07,9,2000,6199.79,69,
"08,09,2000",94.77,-5.23,-1.09,2000-09-08,9,2000,6294.56,70,
"09,09,2000",94.77,-5.23,0,2000-09-09,9,2000,6389.33,71,
"10,09,2000",94.77,-5.23,0,2000-09-10,9,2000,6484.1,72,
"11,09,2000",93.55,-6.45,-1.29,2000-09-11,9,2000,6577.65,73,
"12,09,2000",92.58,-7.42,-1.04,2000-09-12,9,2000,6670.23,74,
"13,09,2000",93.25,-6.75,0.72,2000-09-13,9,2000,6763.48,75,
"14,09,2000",93.47,-6.53,0.24,2000-09-14,9,2000,6856.95,76,
"15,09,2000",93.56,-6.44,0.1,2000-09-15,9,2000,6950.51,77,
"16,09,2000",93.56,-6.44,0,2000-09-16,9,2000,7044.07,78,
"17,09,2000",93.56,-6.44,0,2000-09-17,9,2000,7137.63,79,
"18,09,2000",93.5,-6.5,-0.06,2000-09-18,9,2000,7231.13,80,
"19,09,2000",93.4,-6.6,-0.11,2000-09-19,9,2000,7324.53,81,
"20,09,2000",92.73,-7.27,-0.72,2000-09-20,9,2000,7417.26,82,
"21,09,2000",92.28,-7.72,-0.49,2000-09-21,9,2000,7509.54,83,
"22,09,2000",91.59,-8.41,-0.75,2000-09-22,9,2000,7601.13,84,
"23,09,2000",91.59,-8.41,0,2000-09-23,9,2000,7692.72,85,
"24,09,2000",91.59,-8.41,0,2000-09-24,9,2000,7784.31,86,
"25,09,2000",92.09,-7.91,0.55,2000-09-25,9,2000,7876.4,87,
"26,09,2000",92.5,-7.5,0.45,2000-09-26,9,2000,7968.9,88,
"27,09,2000",92.64,-7.36,0.15,2000-09-27,9,2000,8061.54,89,
"28,09,2000",92.59,-7.41,-0.05,2000-09-28,9,2000,8154.13,90,
"29,09,2000",92.26,-7.74,-0.36,2000-09-29,9,2000,8246.39,91,
"30,09,2000",92.26,-7.74,0,2000-09-30,9,2000,8338.65,92,
"01,10,2000",92.26,-7.74,0,2000-10-01,10,2000,92.26,1,90.6375
"02,10,2000",92.56,-7.44,0.33,2000-10-02,10,2000,184.82,2,
"03,10,2000",91.9,-8.1,-0.71,2000-10-03,10,2000,276.72,3,
"04,10,2000",91.73,-8.27,-0.18,2000-10-04,10,2000,368.45,4,
"05,10,2000",92.21,-7.79,0.52,2000-10-05,10,2000,460.66,5,
"06,10,2000",91.87,-8.13,-0.37,2000-10-06,10,2000,552.53,6,
"07,10,2000",91.87,-8.13,0,2000-10-07,10,2000,644.4,7,
"08,10,2000",91.87,-8.13,0,2000-10-08,10,2000,736.27,8,
"09,10,2000",91.33,-8.67,-0.59,2000-10-09,10,2000,827.6,9,
"10,10,2000",91.43,-8.57,0.11,2000-10-10,10,2000,919.03,10,
"11,10,2000",90.7,-9.3,-0.8,2000-10-11,10,2000,1009.73,11,
"12,10,2000",90.73,-9.27,0.03,2000-10-12,10,2000,1100.46,12,
"13,10,2000",89.2,-10.8,-1.69,2000-10-13,10,2000,1189.66,13,
"14,10,2000",89.2,-10.8,0,2000-10-14,10,2000,1278.86,14,
"15,10,2000",89.2,-10.8,0,2000-10-15,10,2000,1368.06,15,
"16,10,2000",91.02,-8.98,2.04,2000-10-16,10,2000,1459.08,16,
"17,10,2000",91.27,-8.73,0.27,2000-10-17,10,2000,1550.35,17,
"18,10,2000",91.26,-8.74,-0.01,2000-10-18,10,2000,1641.61,18,
