"TIME","GEO","INDIC_BT","NACE_R2","S_ADJ","UNIT","Value","Flag and Footnotes"
"2000M07","Lithuania","Input prices for materials - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","1.2",""
"2000M07","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100",":",""
"2000M07","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period",":",""
"2000M07","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M08","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","75.5",""
"2000M08","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.3",""
"2000M08","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","1.0",""
"2000M08","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","63.6",""
"2000M08","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.8",""
"2000M08","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","0.5",""
"2000M08","Lithuania","Input prices for materials - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","86.7",""
"2000M08","Lithuania","Input prices for materials - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.1",""
"2000M08","Lithuania","Input prices for materials - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","1.2",""
"2000M08","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100",":",""
"2000M08","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period",":",""
"2000M08","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M09","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","75.7",""
"2000M09","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.2",""
"2000M09","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","1.1",""
"2000M09","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","64.2",""
"2000M09","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.9",""
"2000M09","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","1.3",""
"2000M09","Lithuania","Input prices for materials - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","86.7",""
"2000M09","Lithuania","Input prices for materials - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.1",""
"2000M09","Lithuania","Input prices for materials - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","0.9",""
"2000M09","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100",":",""
"2000M09","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period",":",""
"2000M09","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M10","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","75.9",""
"2000M10","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.2",""
"2000M10","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","1.4",""
"2000M10","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","64.4",""
"2000M10","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.3",""
"2000M10","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","2.5",""
"2000M10","Lithuania","Input prices for materials - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","86.7",""
"2000M10","Lithuania","Input prices for materials - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","0.1",""
"2000M10","Lithuania","Input prices for materials - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","0.8",""
"2000M10","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100",":",""
"2000M10","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period",":",""
"2000M10","Lithuania","Output price index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M11","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","75.4",""
"2000M11","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change on previous period","-0.6",""
"2000M11","Lithuania","Construction cost index - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year","1.4",""
"2000M11","Lithuania","Labour cost index in construction - in national currency","Residential buildings, except residences for communities","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","63.2",""
