"TIME","GEO","INDIC_BT","NACE_R2","S_ADJ","UNIT","Value","Flag and Footnotes"
"2000M04","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","36.1",""
"2000M04","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change over previous period",":",""
"2000M04","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M04","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Index, 2010=100","37.0","s"
"2000M04","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change over previous period",":",""
"2000M04","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change compared to same period in previous year","0.8","s"
"2000M04","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Index, 2010=100","37.8","s"
"2000M04","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change over previous period","-9.9","s"
"2000M04","Lithuania","Index of turnover - Total","Mining and quarrying; manufacturing","Seasonally and calendar adjusted data","Percentage change compared to same period in previous year",":",""
"2000M05","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Index, 2010=100","45.8",""
"2000M05","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change over previous period",":",""
"2000M05","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Unadjusted data (i.e. neither seasonally adjusted nor calendar adjusted data)","Percentage change compared to same period in previous year",":",""
"2000M05","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Index, 2010=100","44.8","s"
"2000M05","Estonia","Index of turnover - Total","Mining and quarrying; manufacturing","Calendar adjusted data, not seasonally adjusted data","Percentage change over previous period",":",""
